,What is your age?,Current educational position?,Gender?,Your  current CGPA?,Your Higher Secondary School(H. SC) or A level or equivalent result?,At what age you had started playing games?,Do you play games on mobile or pc?,When you go to sleep?,Do you attend your morning class regularly?,The average time you spend playing games?,Which type of game you addict more?,Do you read newspaper?,Which type of game you played most?,How many time you spend with family and friend?,How you fill when you can not play game in whole day?,How you fill to complete game level?,If you didn't finish games last level what is your feeling?,Do you fill Fatigue?,Do you play games for stress relief?,Are you wearing glasses?
0,21,Bachelor Level,Male,4.0,5.0,10,"Mobile, PC",2,Yes,4,FIFA,Not regular,Non Paid,3,negative,Excited,Excited to complete level,No,Yes,Yes
5,21,Bachelor Level,Male,3.0,5.0,11,Mobile,2,No,5,FREE FIRE,Not regular,Paid,1,negative,Excited,Excited to complete level,No,Yes,No
6,21,Bachelor Level,Male,3.75,5.0,12,"Mobile, PC",1,Yes,3,FIFA,Not regular,Non Paid,5,negative,Excited,Excited to complete level,No,Yes,Yes
7,20,Bachelor Level,Male,3.5,5.0,18,Mobile,0,Yes,2,FIFA,Not regular,Non Paid,7,positive,Excited,Excited to complete level,Yes,Yes,No
8,25,Bachelor Level,Male,2.0,5.0,14,Mobile,2,No,2,FIFA,Not regular,Non Paid,6,positive,Excited,No feeling,Yes,No,No
9,22,Bachelor Level,Male,3.5,3.33,16,"Mobile, PC",2,No,0,PUBG,Not regular,Paid,3,negative,Excited,Excited to complete level,Yes,Yes,Yes
10,22,Bachelor Level,Male,3.5,4.8,16,Mobile,3,No,3,PES,Regular,Non Paid,2,negative,Excited,Excited to complete level,No,Yes,Yes
13,23,Bachelor Level,Male,3.93,5.0,14,Mobile,3,Yes,5,PUBG,Not regular,Non Paid,7,neutral,Excited,Excited to complete level,No,Yes,Yes
14,22,Bachelor Level,Male,3.8,4.0,17,"Mobile, PC",2,Yes,2,CALL OF DUTY,Not regular,Non Paid,2,positive,Bored,No feeling,Yes,Yes,No
15,22,Bachelor Level,Male,3.61,4.67,18,Mobile,7,Yes,2,FIFA,Not regular,Non Paid,3,negative,Bored,Excited to complete level,No,No,No
16,22,Bachelor Level,Male,3.2,4.92,16,Mobile,2,Yes,2,PUBG,Not regular,Non Paid,3,positive,Excited,No feeling,Yes,No,No
18,23,Bachelor Level,Male,2.93,4.71,14,Mobile,1,Yes,2,PUBG,Not regular,Non Paid,2,neutral,Excited,Excited to complete level,No,Yes,No
19,22,Bachelor Level,Male,3.79,5.0,12,Mobile,2,Yes,2,FIFA,Not regular,Non Paid,1,positive,Excited,No feeling,Yes,Yes,No
20,23,Bachelor Level,Male,2.8,2.92,17,Mobile,0,Yes,1,PUBG,Not regular,Non Paid,3,positive,Bored,No feeling,No,Yes,No
23,22,Bachelor Level,Male,3.1,4.17,12,Mobile,0,Yes,4,PUBG,Not regular,Paid,0,positive,Excited,No feeling,No,Yes,Yes
24,21,Bachelor Level,Female,3.0,4.67,15,Mobile,0,Yes,1,PUBG,Not regular,Non Paid,3,positive,Excited,No feeling,No,Yes,No
27,24,Bachelor Level,Male,2.8,4.2,14,"Mobile, PC",0,Yes,1,PES,Not regular,Paid,3,positive,Excited,Excited to complete level,No,No,No
30,23,Bachelor Level,Male,3.73,4.08,18,Mobile,2,Yes,3,FREE FIRE,Not regular,Non Paid,2,negative,Excited,No feeling,No,Yes,No
